abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
rxn09685	Deoxyuridine transport in via proton symport	cpd00067[e] + cpd00412[e] --> cpd00067[c] + cpd00412[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_06230 or G_PA14_46100 or G_PA14_67340)	
rxn02287	Uroporphyrinogen methyltransferase	[c] : (2) cpd00017 + cpd00774 <==> (2) cpd00067 + (2) cpd00019 + cpd01620	Reversible	cytosol	-1000	1000	0	(G_PA14_06660 or G_PA14_41563 or G_PA14_69430 or G_PA14_30340)	
rxn00567	nitrite reductase (NO forming)	[c] : cpd00001 + cpd00109 + cpd00418 <==> (2) cpd00067 + cpd00075 + cpd00110	Reversible	cytosol	-1000	1000	0	(G_PA14_06720 and G_PA14_06670 and G_PA14_06700 and G_PA14_06750)	
rJB00273	nitric-oxide reductase	[c] : cpd15561 + (2) cpd00418 <==> cpd00001 + cpd15560 + cpd00659	Reversible	cytosol	-1000	1000	0	(G_PA14_06830 and G_PA14_06810)	
rJB00274	nitric-oxide reductase	[c] : cJB00125 + (2) cpd00418 <==> cpd00001 + cpd01351 + cpd00659	Reversible	cytosol	-1000	1000	0	(G_PA14_06830 and G_PA14_06810)	
rxn04092	D-amino acid oxidase	[c] : cpd00001 + cpd00007 + cpd00117 --> cpd00025 + cpd00020 + cpd00013	Irreversible	cytosol	0	1000	0	(G_PA14_06960 or G_PA14_45170 or G_PA14_44210 or G_PA14_19400 or G_PA14_70100 or G_PA14_60270 or G_PA14_51040 or G_PA14_39720 or G_PA14_14010 or G_PA14_36310 or G_PA14_47850 or G_PA14_44260 or G_PA14_19770 or G_PA14_67970 or G_PA14_28180)	
rxn08550	Glycerol-3-phosphate acyltransferase (C16:1)	[c] : cpd00080 + cpd15239 --> cpd15326 + cpd11493	Irreversible	cytosol	0	1000	0	(G_PA14_07580 and G_PA14_25640)	
rxn08552	Glycerol-3-phosphate acyltransferase (C18:1)	[c] : cpd00080 + cpd11825 --> cpd11493 + cpd15328	Irreversible	cytosol	0	1000	0	(G_PA14_07580 and G_PA14_25640)	
rxn02503	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	[c] : cpd00002 + cpd00954 <==> cpd00018 + cpd02920	Reversible	cytosol	-1000	1000	0	(G_PA14_07600 or G_PA14_62570)	
rxn00256	Citrate synthase	[c] : cpd00067 + cpd00010 + cpd00137 <==> cpd00001 + cpd00022 + cpd00032	Reversible	cytosol	-1000	1000	0	(G_PA14_53950 or G_PA14_44070)	
rxn00225	Acetate kinase	[c] : cpd00067 + cpd00029 + cpd00002 <==> cpd00008 + cpd00196	Reversible	cytosol	-1000	1000	0	(G_PA14_53470 or G_PA14_15890 or G_PA14_53470)	
rxn00799	Fumarase	[c] : cpd00130 <==> cpd00001 + cpd00106	Reversible	cytosol	-1000	1000	0	(G_PA14_53220 or G_PA14_58030 or G_PA14_56300)	
rxn05663	L tryptophan reversible transport via proton symport	cpd00067[e] + cpd00065[e] <==> cpd00067[c] + cpd00065[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_53050 or G_PA14_25270 or G_PA14_71710)	
rxn00806	Leucine transaminase	[c] : cpd00024 + cpd00107 <==> cpd00200 + cpd00023	Reversible	cytosol	-1000	1000	0	(G_PA14_53010 or G_PA14_23500 or G_PA14_66260)	
rxn00493	Phenylalanine transaminase	[c] : cpd00024 + cpd00066 <==> cpd00023 + cpd00143	Reversible	cytosol	-1000	1000	0	(G_PA14_53010 or G_PA14_23500)	
rxn05108	2-keto-4-methylthiobutyrate transamination	[c] : cpd00023 + cpd00869 <==> cpd00024 + cpd00060	Reversible	cytosol	-1000	1000	0	(G_PA14_53010 or G_PA14_23500)	
rxn12562	Itaconate transporter	(2) cpd00067[e] + cpd00380[e] <==> (2) cpd00067[c] + cpd00380[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_52840 and G_PA14_52820 and G_PA14_52810)	
rJB00237	Sodium-citraconate symporter (dctA and dctPQM)	cpd00971[e] + cpd01502[e] <==> cpd00971[c] + cpd01502[c]	Reversible	extracellular, cytosol	-1000	1000	0	((G_PA14_52840 and G_PA14_52820 and G_PA14_52810) or (G_PA14_68290 and G_PA14_68280 and G_PA14_68260))	
rJB00240	Sodium-fumarate symporter (dctA and dctPQM)	cpd00106[e] + cpd00971[e] <==> cpd00106[c] + cpd00971[c]	Reversible	cytosol, extracellular	-1000	1000	0	((G_PA14_52840 and G_PA14_52820 and G_PA14_52810) or (G_PA14_68290 and G_PA14_68280 and G_PA14_68260))	
rxn05207	Sodium-malate symporter (dctA and dctPQM)	cpd00971[e] + cpd00130[e] <==> cpd00130[c] + cpd00971[c]	Reversible	cytosol, extracellular	-1000	1000	0	((G_PA14_52840 and G_PA14_52820 and G_PA14_52810) or (G_PA14_68290 and G_PA14_68280 and G_PA14_68260))	
rJB00238	Sodium-succinate symporter (dctA and dctPQM)	cpd00971[e] + cpd00036[e] <==> cpd00036[c] + cpd00971[c]	Reversible	cytosol, extracellular	-1000	1000	0	((G_PA14_52840 and G_PA14_52820 and G_PA14_52810) or (G_PA14_68290 and G_PA14_68280 and G_PA14_68260))	
rxn03004	Phosphoribosylglycinamide formyltransferase	[c] : cpd00201 + cpd02394 --> cpd00067 + cpd00087 + cpd02678	Irreversible	cytosol	0	1000	0	(G_PA14_52050 or G_PA14_15890)	
rxn13841	HHQ synthesis	[c] : cpd00067 + cpd11487 + cpd00093 <==> cpd00001 + cpd00011 + cpd17078 + cpd11493	Reversible	cytosol	-1000	1000	0	(G_PA14_51430 and G_PA14_51420 and G_PA14_51410 and G_PA14_51390)	
rxn01644	Dihydrodipicolinate synthase	[c] : cpd00020 + cpd00346 --> cpd00067 + (2) cpd00001 + cpd02120	Irreversible	cytosol	0	1000	0	G_PA14_51270	
rxn04093	glycine oxidase, sarcosine	[c] : cpd00001 + cpd00007 + cpd00183 --> cpd00025 + cpd00040 + cpd00187	Irreversible	cytosol	0	1000	0	(G_PA14_51040 or G_PA14_45170 or G_PA14_39720 or G_PA14_14010 or G_PA14_60270 or G_PA14_44260 or G_PA14_19770 or G_PA14_67970 or G_PA14_28180 or G_PA14_06960 or G_PA14_47850 or G_PA14_44210 or G_PA14_19400 or G_PA14_70100 or G_PA14_36310)	
rxn05179	L-isoleucine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00322[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00322[c]	Irreversible	cytosol, extracellular	0	1000	0	((G_PA14_50560 and G_PA14_50550 and G_PA14_50540 and G_PA14_50530) or (G_PA14_64870 and G_PA14_64890 and G_PA14_64880 and G_PA14_64860))	
rxn13794	4-Aminobutyrate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00281[e] --> cpd00067[c] + cpd00281[c] + cpd00009[c] + cpd00008[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_50520 and G_PA14_50530 and G_PA14_50540 and G_PA14_50550 and G_PA14_50560)	
rxn10170	L-alanine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00035[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00035[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_50520 and G_PA14_50530 and G_PA14_50540 and G_PA14_50550 and G_PA14_50560)	
rxn05169	L-threonine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00161[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00161[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_50520 and G_PA14_50530 and G_PA14_50540 and G_PA14_50550 and G_PA14_50560)	
rxn01352	Nucleoside triphosphate tripolyhydrolase	[c] : cpd00001 + cpd00241 <==> cpd00067 + cpd00277 + cpd00421	Reversible	cytosol	-1000	1000	0	(G_PA14_49840 or G_PA14_24730)	
rxn09016	Nucleoside triphosphate tripolyhydrolase	[c] : cpd00001 + cpd00038 <==> cpd00067 + cpd00421 + cpd00311	Reversible	cytosol	-1000	1000	0	(G_PA14_49840 or G_PA14_24730)	
rxn05231	Ribonucleoside-diphosphate reductase (ADP)	[c] : cpd00008 + cpd11421 --> cpd00001 + cpd11420 + cpd00177	Irreversible	cytosol	0	1000	0	(G_PA14_49460 and G_PA14_49470)	
rxn06076	Ribonucleoside-diphosphate reductase (CDP)	[c] : cpd11421 + cpd00096 --> cpd00001 + cpd11420 + cpd00533	Irreversible	cytosol	0	1000	0	(G_PA14_49460 and G_PA14_49470)	
rxn05233	Ribonucleoside-diphosphate reductase (GDP)	[c] : cpd11421 + cpd00031 --> cpd00001 + cpd11420 + cpd00295	Irreversible	cytosol	0	1000	0	(G_PA14_49460 and G_PA14_49470)	
rxn06075	Ribonucleoside-diphosphate reductase (UDP)	[c] : cpd11421 + cpd00014 --> cpd00001 + cpd11420 + cpd00978	Irreversible	cytosol	0	1000	0	(G_PA14_49460 and G_PA14_49470)	
rxn12498	Nitrate reductase (Ubiquinol-8)	[c] : cpd15561 + cpd00209 --> cpd00001 + cpd15560 + cpd00075	Irreversible	cytosol	0	1000	0	(G_PA14_49250 or (G_PA14_13780 and G_PA14_13800 and G_PA14_13830 and G_PA14_13810))	
rJB00269	Nitrate reductase (Ubiquinol-9)	[c] : cJB00125 + cpd00209 --> cpd00001 + cpd01351 + cpd00075	Irreversible	cytosol	0	1000	0	(G_PA14_49250 or (G_PA14_13780 and G_PA14_13800 and G_PA14_13830 and G_PA14_13810))	
rxn05561	Fumarate reversible transport via symport	cpd00067[e] + cpd00106[e] <==> cpd00067[c] + cpd00106[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_49130 or G_PA14_01460)	
rxn10154	Succinate transport via proton symport (2 H)	(2) cpd00067[e] + cpd00036[e] <==> (2) cpd00067[c] + cpd00036[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_49130 or G_PA14_01460)	
rxn00902	2-isopropylmalate synthase	[c] : cpd00001 + cpd00022 + cpd00123 --> cpd00067 + cpd00010 + cpd01646	Irreversible	cytosol	0	1000	0	(G_PA14_48570 or G_PA14_15030)	
rxn00269	Glycine oxidase	[c] : cpd00001 + cpd00007 + cpd00033 --> cpd00025 + cpd00013 + cpd00040	Irreversible	cytosol	0	1000	0	(G_PA14_47850 or G_PA14_44210 or G_PA14_67970 or G_PA14_28180 or G_PA14_06960 or G_PA14_45170 or G_PA14_39720 or G_PA14_19400 or G_PA14_70100 or G_PA14_60270 or G_PA14_51040 or G_PA14_44260 or G_PA14_19770 or G_PA14_14010 or G_PA14_36310)	
rxn03541	adenosylcobinamide-phosphate synthase	[c] : cpd02039 + cpd03917 <==> cpd00001 + cpd03918	Reversible	cytosol	-1000	1000	0	(G_PA14_47720 or G_PA14_47730)	
rxn05315	ZN2t4	cpd00067[e] + cpd00205[e] + cpd00034[c] <==> cpd00067[c] + cpd00205[c] + cpd00034[e]	Reversible	cytosol, extracellular	-1000	1000	0	G_PA14_47430	
rxn10113	Cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons)	(2.5) cpd00067[c] + cpd15561[c] + (0.5) cpd00007[c] --> cpd00001[c] + (2.5) cpd00067[e] + cpd15560[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_47210 and G_PA14_47190 and G_PA14_47180 and G_PA14_47160 and G_PA14_47150)	
rJB00267	cytochrome oxidase bo3 (ubiquinol-9: 2.5 protons)	(2.5) cpd00067[c] + cJB00125[c] + (0.5) cpd00007[c] --> cpd00001[c] + (2.5) cpd00067[e] + cpd01351[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_47210 and G_PA14_47190 and G_PA14_47180 and G_PA14_47160 and G_PA14_47150)	
rxn05152	L-aspartate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00041[e] --> cpd00067[c] + cpd00041[c] + cpd00009[c] + cpd00008[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_46950 and G_PA14_46930 and G_PA14_46920 and G_PA14_46910)	
rxn05146	L-glutamate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00023[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00023[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_46950 and G_PA14_46930 and G_PA14_46920 and G_PA14_46910)	
rxn08861	Malonyl-ACP decarboxylase	[c] : cpd00067 + cpd11492 --> cpd00011 + cpd11494	Irreversible	cytosol	0	1000	0	(G_PA14_46490 or G_PA14_25690)	
rxn00394	arginase	[c] : cpd00001 + cpd00051 --> cpd00064 + cpd00073	Irreversible	cytosol	0	1000	0	(G_PA14_46070 or G_PA14_03770 or G_PA14_23170)	
rxn05197	Uracil transport in via proton symport	cpd00067[e] + cpd00092[e] <==> cpd00067[c] + cpd00092[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_44950 or G_PA14_26050 or G_PA14_05790 or G_PA14_05700 or G_PA14_06230 or G_PA14_46100 or G_PA14_67340 or G_PA14_44800 or G_PA14_61480 or G_PA14_02070 or G_PA14_04610 or G_PA14_62440)	
rxn01225	guanine deaminase	[c] : cpd00067 + cpd00001 + cpd00207 --> cpd00309 + cpd00013	Irreversible	cytosol	0	1000	0	(G_PA14_44770 or G_PA14_01660)	
rxn08527	Fumarate reductase	[c] : cpd00106 + cpd15499 --> cpd00036 + cpd15500	Irreversible	cytosol	0	0	0	(G_PA14_44060 and G_PA14_44050 and G_PA14_44030 and G_PA14_44020)	
rxn01732	Itaconyl-CoA synthetase	[c] : cpd00010 + cpd00380 + cpd00038 <==> cpd00009 + cpd00031 + cpd00416	Reversible	cytosol	-1000	1000	0	(G_PA14_43950 and G_PA14_43940)	
rxn00285	Succinyl-CoA synthetase (ADP-forming)	[c] : cpd00010 + cpd00036 + cpd00002 <==> cpd00009 + cpd00008 + cpd00078	Reversible	cytosol	-1000	1000	0	(G_PA14_43950 and G_PA14_43940)	
rxn05334	((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd11483 <==> cpd00001 + cpd11471	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn05329	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd11478 <==> cpd00001 + cpd11465	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn05330	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd11479 <==> cpd00001 + cpd11473	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn13843	(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd17051 <==> cpd00001 + cpd15572	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn13840	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd11481 <==> cpd00001 + cpd15239	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn13846	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	[c] : cpd11484 <==> cpd00001 + cpd15294	Reversible	cytosol	-1000	1000	0	(G_PA14_43680 or G_PA14_17190)	
rxn10168	Potassium ABC transporter	cpd00001[c] + cpd00002[c] + cpd00205[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00205[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_43400 and G_PA14_43380 and G_PA14_43370)	
rxn13842	H+/K+-exchanging ATPase	cpd00067[c] + cpd00001[c] + cpd00002[c] + cpd00205[e] --> (2) cpd00067[e] + cpd00009[c] + cpd00008[c] + cpd00205[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_43380 or G_PA14_43370 or G_PA14_43400)	
rxn02276	Maleylacetoacetate isomerase	[c] : cpd00763 <==> cpd00780	Reversible	cytosol	-1000	1000	0	(G_PA14_43110 or G_PA14_38550 or G_PA14_32650 or G_PA14_24830)	
rxn01332	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	[c] : cpd00001 + cpd00236 + cpd00061 --> cpd00067 + cpd00009 + cpd02857	Irreversible	cytosol	0	1000	0	(G_PA14_41920 or G_PA14_25980)	
rxn01388	Aconitase (half-reaction B, Isocitrate hydro-lyase)	[c] : cpd00260 <==> cpd00001 + cpd00331	Reversible	cytosol	-1000	1000	0	(G_PA14_41470 or G_PA14_44290 or G_PA14_53970)	
rxn00974	Aconitase (half-reaction A, Citrate hydro-lyase)	[c] : cpd00137 <==> cpd00001 + cpd00331	Reversible	cytosol	-1000	1000	0	(G_PA14_41470 or G_PA14_44290 or G_PA14_53970)	
rxn00973	Aconitase	[c] : cpd00137 <==> cpd00260	Reversible	cytosol	-1000	1000	0	(G_PA14_41470 or G_PA14_44290)	
rxn13886	peptide transport in via ABC transport	cpd00001[c] + cpd00002[c] + cpd11608[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd11608[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_41160 and G_PA14_41150 and G_PA14_41140 and G_PA14_41130)	
rxn02177	isochorismatase	[c] : cpd00001 + cpd00658 --> cpd00020 + cpd02566	Irreversible	cytosol	0	1000	0	(G_PA14_39925 or G_PA14_09450)	
rxn05160	D-ribose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00105[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00105[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_39350 and G_PA14_39330 and G_PA14_39320)	
rxn05549	Deoxyribose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01242[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd01242[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_39320 and G_PA14_39330 and G_PA14_39350)	
rxn05644	D-ribose transport out via ABC system	cpd00001[c] + cpd00002[c] + cpd00105[c] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00105[e]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_39320 and G_PA14_39330 and G_PA14_39350)	
rxn05167	XYLabc	cpd00001[c] + cpd00002[c] + cpd00154[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00154[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_39320 and G_PA14_39330 and G_PA14_39350)	
rxn05173	ARBabc	cpd00001[c] + cpd00002[c] + cpd00224[e] <==> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00224[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_39320 and G_PA14_39330 and G_PA14_39350)	
rxn02143	3-oxoadipate CoA-transferase	[c] : cpd00078 + cpd00630 <==> cpd00036 + cpd01507	Reversible	cytosol	-1000	1000	0	(G_PA14_38660 and G_PA14_38640)	
rxn02889	MCCC	[c] : cpd01966 + cpd00002 + cpd00242 <==> cpd00067 + cpd00009 + cpd00008 + cpd02068	Reversible	cytosol	-1000	1000	0	(G_PA14_38460 and G_PA14_38480)	
rxn05649	DSERt2	cpd00067[e] + cpd00550[e] <==> cpd00067[c] + cpd00550[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_38130 and G_PA14_38110)	
rxn05307	L serine reversible transport via proton symport	cpd00067[e] + cpd00054[e] <==> cpd00067[c] + cpd00054[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_38130 and G_PA14_38110)	
rxn05300	L threonine reversible transport via proton symport	cpd00067[e] + cpd00161[e] <==> cpd00067[c] + cpd00161[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_38130 and G_PA14_38110)	
rxn13811	ascorbate transport in via proton symport	cpd00067[e] + cpd00059[e] <==> cpd00067[c] + cpd00059[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_02070 or G_PA14_26050 or G_PA14_06230 or G_PA14_67340 or G_PA14_04610 or G_PA14_05700 or G_PA14_05790 or G_PA14_46100 or G_PA14_61480 or G_PA14_44950)	
rxn00649	Cysteine synthase	[c] : cpd00239 + cpd00722 --> cpd00067 + cpd00029 + cpd00084	Irreversible	cytosol	0	1000	0	(G_PA14_29110 or G_PA14_52210)	
rPY00184	Cardiolipin synthase (n-C16:0 16:1)	[c] : (2) cPY00131 --> cpd00100 + cPY00142	Irreversible	cytosol	0	1000	0	(G_PA14_36690 or G_PA14_71220)	
rxn08229	Cardiolipin synthase (periplasmic, n-C16:0)	[c] : (2) cpd15538 <==> cpd00100 + cpd15428	Reversible	cytosol	-1000	1000	0	(G_PA14_36690 or G_PA14_71220)	
rxn08230	Cardiolipin synthase (periplasmic, n-C16:1)	[c] : (2) cpd15539 <==> cpd00100 + cpd15429	Reversible	cytosol	-1000	1000	0	(G_PA14_36690 or G_PA14_71220)	
rPY00183	Cardiolipin synthase (n-C18:0 18:1)	[c] : (2) cPY00134 --> cpd00100 + cPY00141	Irreversible	cytosol	0	1000	0	(G_PA14_36690 or G_PA14_71220)	
rxn08231	Cardiolipin synthase (periplasmic, n-C18:0)	[c] : (2) cpd15540 <==> cpd00100 + cpd15430	Reversible	cytosol	-1000	1000	0	(G_PA14_36690 or G_PA14_71220)	
rxn08232	Cardiolipin synthase (periplasmic, n-C18:1)	[c] : (2) cpd15541 <==> cpd00100 + cpd15431	Reversible	cytosol	-1000	1000	0	(G_PA14_36690 or G_PA14_71220)	
rxn13847	Threonine dehydrogenase	[c] : cpd00010 + cpd00161 <==> cpd00022 + cpd00033 + cpd11640	Reversible	cytosol	-1000	1000	0	(G_PA14_10900 or G_PA14_71560 or G_PA14_36660 or G_PA14_10230)	
rxn00065	Adenylate cyclase	[c] : cpd00002 --> cpd00067 + cpd00012 + cpd00446	Irreversible	cytosol	0	1000	0	(G_PA14_36345 or G_PA14_69610 or G_PA14_22620)	
rxn00342	L-asparaginase	[c] : cpd00001 + cpd00132 --> cpd00041 + cpd00013	Irreversible	cytosol	0	1000	0	(G_PA14_35440 or G_PA14_46970)	
rxn05171	nitrate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00209[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00209[c]	Irreversible	cytosol, extracellular	0	1000	0	((G_PA14_02330 and G_PA14_02340) or (G_PA14_34770 and G_PA14_34780 and G_PA14_34790) or (G_PA14_19520 and G_PA14_19510 and G_PA14_19500) or (G_PA14_19570 and G_PA14_19580))	
rxn13853	D-mannitol transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00314[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00314[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_34420 and G_PA14_34410 and G_PA14_34390 and G_PA14_34370)	
rxn13849	D-mannose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00138[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00138[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_34420 and G_PA14_34410 and G_PA14_34390 and G_PA14_34370)	
rxn05608	Maltotriose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01262[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd01262[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_34390 and G_PA14_34410 and G_PA14_34370)	
rJB00222	Sorbitol-ABC transport	cpd00001[c] + cpd00002[c] + cpd00588[e] <==> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00588[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_34370 and G_PA14_34390 and G_PA14_34410 and G_PA14_34420)	
rxn05614	L methionine R oxide transport via ABC system	cpd00001[c] + cpd00002[c] + cpd11576[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd11576[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_34260 and G_PA14_34270 and G_PA14_34280)	
rxn05613	L methionine S oxide transport via ABC system	cpd00001[c] + cpd00002[c] + cpd01914[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd01914[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_34260 and G_PA14_34270 and G_PA14_34280)	
rPY00218	ferribactin synthase complex	[c] : cpd00023 + (2) cpd00161 + cpd00051 + (2) cpd00054 + cpd00069 + cpd02095 + (2) cPY00162 + cpd00039 --> (2) cpd00067 + (12) cpd00001 + cPY00163	Irreversible	cytosol	0	1000	0	(G_PA14_33650 and G_PA14_33630 and G_PA14_33610 and G_PA14_33280)	
rxn05149	Manganese transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00030[e] --> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd00030[c]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_33560 and G_PA14_33540 and G_PA14_33550)	
rxn06600	aminomethyltransferase	[c] : cpd00087 + cpd11830 <==> cpd12225 + cpd00125 + cpd00013	Reversible	cytosol	-1000	1000	0	(G_PA14_33040 or G_PA14_68870)	
rxn00165	SER AL	[c] : cpd00054 <==> cpd00020 + cpd00013	Reversible	cytosol	-1000	1000	0	(G_PA14_33030 or G_PA14_71060)	
rxn13803	Glutamine transaminase	[c] : cpd00023 + cpd00016 <==> cpd00024 + cpd00493	Reversible	cytosol	-1000	1000	0	(G_PA14_33010 or G_PA14_71460)	
rxn06377	Glycine-cleavage complex	[c] : cpd00067 + cpd12005 + cpd00033 <==> cpd00011 + cpd11830	Reversible	cytosol	-1000	1000	0	(G_PA14_33000 or G_PA14_68850)	
rxn12549	4-Hydroxybenzoate transport	cpd00067[e] + cpd00136[e] <==> cpd00067[c] + cpd00136[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_32660 or G_PA14_02900)	
rxn13814	cadmium transport out via antiport	cpd00067[e] + cpd01012[c] <==> cpd00067[c] + cpd01012[e]	Reversible	cytosol, extracellular	-1000	1000	0	((G_PA14_31010 and G_PA14_31030 and G_PA14_31040) or (G_PA14_31990 and G_PA14_31970))	
rxn13681	cobalt transport out via antiport	cpd00067[e] + cpd00149[c] <==> cpd00067[c] + cpd00149[e]	Reversible	cytosol, extracellular	-1000	1000	0	((G_PA14_31010 and G_PA14_31030 and G_PA14_31040) or (G_PA14_31990 and G_PA14_31970))	
rxn13919	zinc transport out via antiport	cpd00067[e] + cpd00034[c] --> cpd00067[c] + cpd00034[e]	Irreversible	cytosol, extracellular	0	1000	0	((G_PA14_31010 and G_PA14_31030 and G_PA14_31040) or (G_PA14_31990 and G_PA14_31970))	
rPY00172	Phosphatidylglycerol synthase (n-C16:0 16:1)	[c] : cpd00080 + cPY00121 --> cpd00067 + cpd00046 + cPY00130	Irreversible	cytosol	0	1000	0	(G_PA14_31700 or G_PA14_30670)	
rPY00175	Phosphatidylglycerol synthase (n-C18:0 18:1)	[c] : cpd00080 + cPY00126 --> cpd00067 + cpd00046 + cPY00133	Irreversible	cytosol	0	1000	0	(G_PA14_31700 or G_PA14_30670)	
rxn00175	Acetyl-CoA synthetase	[c] : cpd00067 + cpd00010 + cpd00029 + cpd00002 <==> cpd00022 + cpd00012 + cpd00018	Reversible	cytosol	-1000	1000	0	(G_PA14_31500 or G_PA14_62630 or G_PA14_52800)	
rxn05187	Vitamin B12 ABC transport	cpd00001[c] + cpd00002[c] + cpd03424[e] <==> cpd00067[c] + cpd00009[c] + cpd00008[c] + cpd03424[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_26400 and G_PA14_26390 and G_PA14_26360)	
